# name        x     y    w    h    ex  ey      f     a    s     o    col              ecol               string
HUD_CLOCK           111.0 22.0 0.7 1.25     0.0 0.0      2 2 1 0         97 194 247 255      0 0 0 255 
HUD_MONEY           110.0 43.0 0.7 1.25     0.0 0.0      2 2 1 0          0 207 133 255      0 0 0 255
HUD_WEAPON          99.0 27.0 64.0 64.0     0.0 0.0      0 0 0 0         255 255 255 255     0 0 0 0
HUD_AMMO            66.0 90.0 0.5 0.8       0.0 0.0      1 1 1 0         255 150 225 255     0 0 0 255
HUD_HEALTH          110.0 65.0 0.7 1.25     0.0 0.0      2 2 1 0         255 150 225 255     0 0 0 255
HUD_HEALTH_ICON     164.0 65.0 0.7 1.25     0.0 0.0      2 2 1 0         255 150 225 255     0 0 0 255             {
HUD_ARMOUR          182.0 65.0 0.7 1.25     0.0 0.0      2 2 1 0         185 185 185 255     0 0 0 255             
HUD_ARMOUR_ICON     236.0 65.0 0.7 1.25     0.0 0.0      2 2 1 0         185 185 185 255     0 0 0 255             <
HUD_WANTED          109.0 88.0 0.8 1.35    23.0 0.0      2 2 1 0          97 194 247 255     0 0 0 255             >
HUD_NOT_WANTED      109.0 88.0 0.8 1.35    23.0 0.0      2 2 1 0          27  89 130 255     0 0 0 255             >
HUD_ZONE            32.0 160.0 1.4 1.5      0.0 0.0      0 2 1 0          45 155  90 255     0 0 0 255
HUD_STREET          32.0 115.0 1.4 1.5      0.0 0.0      0 2 1 0          85 125 120 255     0 0 0 255
HUD_VEHICLE         32.0 60.0 1.4 1.5       0.0 0.0      0 2 1 0          97 194 247 255     0 0 0 255
HUD_RADAR_DISC      0.0 0.0 0.0 0.0         0.0 0.0      0 0 0 0         255 255 255 255     0 0 0 255
